"SYMBOL","PURPOSE","VALUE","EX_DATE"
"BRFL","AGM/DIVIDEND - 15%","15.00%","2008-09-18"
"CANBK","AGM/DIV-RS.8/- PER SHARE","8","2009-07-08"
"CANBK","ANNUAL GENERAL MEETING/DIVIDEND RS.10/- PER SHARE/ELECTION OF DIRECTORS","10","2010-06-14"
"CANBK","AGM/DIVIDEND-30%","30.00%","2005-07-26"
"CANBK","AGM/DIVIDEND-66%","66.00%","2006-06-14"
"CANBK","AGM/DIV-70%/ELEC. OF DIR","70.00%","2007-06-26"
"CANBK","AGM/DIVIDEND-80%","80.00%","2008-06-10"
"CENTRALBK","FINAL DIVIDEND-RE.1.20 PER SHARE","1.2","2010-07-08"
"CENTRALBK","AGM/DIV-RS.2 PER SHARE","2","2008-07-22"
"CENTRALBK","AGM/DIV-RS.2/- PER SHARE","2","2009-07-27"
"CENTURYTEX","AGM/DIV-RS.4.50 PR SHARE","4.5","2009-07-10"
"CENTURYTEX","ANNUAL GENERAL MEETING AND DIVIDEND RS.5.50 PER SHARE","5.5","2010-07-12"
"CENTURYTEX","AGM / DIVIDEND-25%","25.00%","2005-07-05"
"CENTURYTEX","AGM/DIVIDEND-30%","30.00%","2006-06-20"
"CENTURYTEX","INTERIM DIVIDEND-37.5%   PURPOSE REVISED","37.50%","2007-03-20"
"CENTURYTEX","AGM/DIVIDEND - 45%","45.00%","2008-07-07"
"CESC","AGM/DIV-RS.4/- PER SHARE","4","2009-07-09"
"CESC","ANNUAL GENERAL MEETING AND DIVIDEND RS.4/- PER SHARE","4","2010-07-08"
"CESC","AGM/DIVIDEND-25%","25.00%","2005-07-14"
"CESC","AGM/DIVIDEND-25%","25.00%","2006-07-06"
"CESC","AGM/DIVIDEND-35%","35.00%","2007-07-12"
"CESC","AGM/DIVIDEND - 40%","40.00%","2008-07-17"
"CHAMBLFERT","DIVIDEND-RS.1.80 PR SHARE","1.8","2009-07-31"
"CHAMBLFERT","DIVIDEND-RS.1.90 PER SHARE","1.9","2010-07-30"
"CHAMBLFERT","DIVIDEND - 18%","18.00%","2008-07-30"
"CHAMBLFERT","DIVIDEND-18%","18.00%","2006-07-17"
"CHAMBLFERT","DIVIDEND-18%","18.00%","2005-09-29"
"CHAMBLFERT","DIVIDEND-18%","18.00%","2007-07-16"
"CHENNPETRO","ANNUAL GENERAL MEETING AND DIVIDEND RS.12/- PER SHARE","12","2010-08-20"
"CHENNPETRO","AGM/DIVIDEND - 120%","120.00%","2008-08-22"
"CHENNPETRO","AGM/DIVIDEND-120%","120.00%","2005-08-11"
"CHENNPETRO","AGM/DIVIDEND-120%        BC REVISED","120.00%","2007-08-24"
"CHENNPETRO","INTERIM DIVIDEND-50%","50.00%","2008-05-29"
"CHENNPETRO","AGM/DIVIDEND-90%","90.00%","2006-08-16"
"CIPLA","SPECIAL INTERIM DIVIDEND RE.0.80 PER SHARE","0.8","2010-09-03"
"CIPLA","AGM/DIV-RS.2/- PER SH","2","2007-08-08"
"CIPLA","AGM/DIV-RS.2/- PER SH","2","2006-08-18"
"CIPLA","AGM/DIV-RS.2/- PER SHARE","2","2009-08-10"
"CIPLA","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2010-07-23"
"CIPLA","DIVIDEND - RS.2 PER SHARE","2","2008-08-12"
"CIPLA","AGM/DIV-RS.3.5/- PER SH  PURPOSE REVISED","3.5","2005-08-19"
"COLPAL","2ND INTERIM DIVIDEND RS.5/- PER SHARE (PURPOSE REVISED)","5","2010-12-14"
"COLPAL","AGM/DIV-RS.7 PER SHARE","7","2008-07-08"
"COLPAL","3RD INTERIM DIVIDEND-RS.7/- PER SHARE (PURPOSE REVISED)","7","2011-03-30"
"COLPAL","1ST INTERIM DIVIDEND RS.8/- PER SHARE (PURPOSE REVISED)","8","2011-06-13"
"COLPAL","1ST INT DIV-RS.9 PER SH  PURPOSE REVISED","9","2008-12-12"
"COLPAL","1ST INTERIM DIVIDEND-RS.10/- PER SHARE (PURPOSE REVISED)","10","2010-08-17"
"CONCOR","AGM/DIV-RS. 7.50/- PER SH","7.5","2008-08-12"
"CONCOR","INTERIM DIVIDEND-RS.7.50 PER SHARE","7.5","2011-01-28"
"CONCOR","INTERIM DIV- RS.11 PER SH","11","2008-02-14"
"CONCOR","AGM/DIVIDEND-110%","110.00%","2007-08-08"
"CONCOR","INTERIM DIVIDEND-110%","110.00%","2007-01-31"
"CONCOR","INTERIM DIVIDEND - 60%","60.00%","2009-02-09"
"CONCOR","AGM/FINAL DIVIDEND-80%","80.00%","2006-08-16"
"CONCOR","AGM/DIVIDEND-85%","85.00%","2005-09-14"
"COREPROTEC","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.60 PER SHARE","0.6","2010-09-23"
"COREPROTEC","AGM/DIV-RE.0.60 PER SHARE","0.6","2009-09-17"
"COREPROTEC","AGM/DIVIDEND - 10%","10.00%","2008-07-24"
"COREPROTEC","AGM/DIV-5%/SPL-RS10TORS2 PURPOSE REVISED","5.00%","2007-06-06"
